,ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,label,AQI
508,0.1224,0.1477,0.1718,0.1883,0.2684,0.3298,0.259,0.0801,0.175388658,0.821820332,79,2,31
353,0.106,0.1092,0.1235,0.1243,0.2423,0.1979,0.1342,0.118,0.321876705,0.906574158,335,1,24
48,0.0674,0.0805,0.1102,0.1158,0.0782,0.0464,0.0352,-0.0376,-0.193814433,0.553340372,255,1,13
892,0.6967,0.7045,0.7077,0.7159,0.7369,0.4847,0.3349,0.021,0.014454846,0.717255077,15,4,114
393,0.1048,0.1128,0.1525,0.1502,0.2641,0.1966,0.1416,0.1139,0.274921554,0.880296288,63,1,25
800,0.0864,0.1036,0.1271,0.1345,0.2046,0.165,0.1337,0.0701,0.20672368,0.840668591,351,3,69
85,0.1516,0.165,0.1844,0.1947,0.2854,0.2885,0.2381,0.0907,0.188918975,0.830011431,255,1,16
401,0.0403,0.0565,0.0829,0.0835,0.1473,0.1232,0.0954,0.0638,0.276429809,0.881152546,364,1,25
634,0.4867,0.5043,0.5413,0.5568,0.6054,0.5665,0.4384,0.0486,0.041817243,0.736082362,111,2,40
288,0.0843,0.0821,0.0814,0.0729,0.0941,0.0781,0.0589,0.0212,0.126946108,0.791799285,63,1,22
145,0.1924,0.1916,0.2132,0.2097,0.3186,0.2975,0.2207,0.1089,0.206132879,0.84031713,300,1,19
647,0.0743,0.0875,0.1195,0.1246,0.2173,0.2428,0.1874,0.0927,0.27113191,0.878141167,47,2,41
236,0.0826,0.0837,0.0829,0.0649,0.2369,0.1085,0.0603,0.172,0.56991385,1.0343664,300,1,21
126,0.1041,0.1121,0.1202,0.1141,0.272,0.2404,0.1793,0.1579,0.408961409,0.953394676,47,1,18
588,0.3949,0.4024,0.3916,0.3961,0.482,0.3893,0.3259,0.0859,0.097824849,0.773191341,335,2,36
823,0.0772,0.0921,0.1039,0.1137,0.2122,0.2453,0.2004,0.0985,0.302239951,0.895678486,50,3,78
653,0.1288,0.136,0.1462,0.146,0.2056,0.1828,0.1483,0.0596,0.169510808,0.818236401,284,2,41
75,0.6459,0.6589,0.7066,0.7209,0.7624,0.6082,0.4819,0.0415,0.027978157,0.726621054,143,1,16
866,0.4891,0.5338,0.6054,0.6839,0.8259,0.8619,0.7057,0.142,0.094052192,0.770747814,34,4,102
857,0.0468,0.0601,0.0856,0.0807,0.2061,0.1708,0.1296,0.1254,0.437238494,0.968110786,50,3,98
281,0.0419,0.0574,0.0875,0.0871,0.2332,0.1886,0.1211,0.1461,0.456134874,0.977821494,364,1,22
86,0.1129,0.1382,0.1783,0.1881,0.2847,0.2874,0.23,0.0966,0.204314721,0.839234604,255,1,16
785,0.0541,0.0688,0.0939,0.1033,0.1665,0.1657,0.139,0.0632,0.234247591,0.856882484,351,3,65
29,0.2578,0.2588,0.2626,0.257,0.3561,0.2211,0.1337,0.0991,0.16163758,0.813411077,239,1,11
99,0.3236,0.3224,0.3255,0.3264,0.4053,0.3385,0.2774,0.0789,0.107831078,0.779635221,159,1,17
370,0.0683,0.086,0.1146,0.1116,0.2198,0.1406,0.0999,0.1082,0.326493663,0.909116969,303,1,24
174,0.0652,0.0755,0.0964,0.0973,0.1891,0.1734,0.1276,0.0918,0.320530726,0.905831511,111,1,20
420,0.3864,0.3918,0.3948,0.3955,0.4402,0.3306,0.2199,0.0447,0.053488094,0.743967804,143,2,26
423,0.0664,0.0862,0.1268,0.134,0.2459,0.2421,0.1914,0.1119,0.294551198,0.891376014,127,2,26
367,0.0523,0.0775,0.1094,0.1097,0.219,0.1407,0.1006,0.1093,0.332522057,0.912426466,303,1,24
33,0.7125,0.7311,0.7495,0.7689,0.8039,0.6764,0.522,0.035,0.022253306,0.722670953,332,1,12
945,0.1249,0.1337,0.1434,0.1402,0.2281,0.2557,0.2021,0.0879,0.238664133,0.859455719,34,4,160
54,0.06,0.0786,0.1092,0.1179,0.2983,0.2528,0.1634,0.1804,0.433445459,0.966149812,255,1,14
576,0.1156,0.1504,0.1607,0.1736,0.2609,0.3207,0.2458,0.0873,0.200920598,0.837210009,284,2,35
467,0.2053,0.1982,0.2187,0.2079,0.2633,0.2463,0.1736,0.0554,0.117572156,0.785857593,63,2,28
5,0.2781,0.2774,0.2671,0.2596,0.3784,0.3094,0.227,0.1188,0.186206897,0.82837606,239,1,7
